"X","name","essround","proddate","cntry","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","T_EUandUN","T_DOMEST","T_PATRIOT","V_EXCITE","V_MATERIA","V_AUTONOM","V_RELIGION","V_GROUP","IT_FREQ","IT_TIME"
1817,"ESS9e03_1",9,"17.02.2021","BG",5,600,0,1,0,3,3,4,3,10,8,5,5,5,1,NA,NA,5,4,2,2,5,5,5,5,4,3,3,3,3,4,3,3,3,2,5,3.8,0,5.5,3.16666666666667,4.16666666666667,3.58333333333333,4.125,3.92857142857143,10.5,NA
1818,"ESS9e03_1",9,"17.02.2021","BG",5,30,3,8,4,8,4,2,8,9,9,4,7,6,1,NA,5,2,3,2,4,2,4,5,2,2,4,2,2,2,4,4,2,4,2,2,6.2,3.5,8.5,5.5,5.5,4,3.125,4.21428571428571,10.5,30
1819,"ESS9e03_1",9,"17.02.2021","BG",1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
1820,"ESS9e03_1",9,"17.02.2021","BG",5,150,0,0,0,0,0,NA,5,7,0,8,2,2,2,NA,2,3,2,2,2,3,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,0,3.5,5.5,5.16666666666667,5.5,6.375,5.5,10.5,150
1821,"ESS9e03_1",9,"17.02.2021","BG",5,30,2,2,2,2,2,3,4,6,0,2,7,7,1,NA,5,6,4,6,1,4,6,3,6,4,3,3,1,5,4,5,3,1,3,4,2,2,4,2.5,2.5,3.85714285714286,2.125,4.35714285714286,10.5,30
1822,"ESS9e03_1",9,"17.02.2021","BG",1,NA,4,6,3,NA,NA,NA,NA,7,5,6,5,5,55,NA,4,5,3,4,1,4,3,3,4,3,2,4,2,6,2,4,3,2,1,4,5,3.5,6.5,2.83333333333333,3.16666666666667,4.66666666666667,4.625,4.78571428571429,NA,NA
1823,"ESS9e03_1",9,"17.02.2021","BG",1,NA,5,5,5,5,5,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,2,NA,2,NA,NA,2,NA,2,NA,2,2,2,2,2,NA,5,5,7.5,NA,2.5,5.5,5.5,5.5,NA,NA
1824,"ESS9e03_1",9,"17.02.2021","BG",2,NA,0,3,1,1,1,5,9,9,2,1,7,3,1,NA,2,6,2,1,1,1,6,5,1,1,1,4,1,2,4,4,6,1,1,1,3,0.5,6,6.16666666666667,3.83333333333333,3.71428571428571,3.375,5.5,6,NA
1825,"ESS9e03_1",9,"17.02.2021","BG",1,NA,5,5,1,1,1,3,5,3,3,1,5,7,NA,NA,4,3,2,2,2,2,2,2,4,2,2,2,2,5,2,2,2,2,2,5,2.5,3,4,2.83333333333333,5.16666666666667,5,2.625,5.5,NA,NA
1826,"ESS9e03_1",9,"17.02.2021","BG",1,NA,8,8,2,NA,NA,3,NA,NA,NA,7,4,6,NA,NA,NA,NA,NA,3,2,NA,NA,2,6,3,2,4,2,NA,2,2,2,2,1,6,NA,5,8,1.5,4,5,4.875,5.5,NA,NA
