"","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun"
"131",5,60,4,3,5,5,6,2,3,7,7,3,7,7,1,NA,2,3,3,2,3,3,3,3,3,2,3,2,2,3,4,3,2,3,2,4
"132",1,NA,6,7,6,6,5,1,7,8,8,4,7,7,1,NA,3,4,3,3,4,3,1,5,3,3,2,2,4,5,5,2,3,4,4,2
"133",3,NA,6,8,6,7,7,2,7,7,6,7,5,3,1,NA,3,3,3,3,3,3,2,3,3,2,4,3,3,4,3,3,3,3,2,3
"134",4,120,3,8,2,0,5,1,0,10,5,7,4,7,1,NA,3,5,2,4,3,2,2,2,5,6,3,5,3,6,2,5,2,4,3,3
"135",5,420,7,8,6,7,7,1,6,8,7,6,6,4,1,NA,2,4,2,4,2,4,1,2,2,2,1,3,2,3,3,2,1,1,3,2
"136",5,60,0,8,0,0,0,1,10,8,5,3,7,7,55,NA,2,4,2,1,2,3,2,3,2,4,2,3,2,3,3,2,1,2,2,3
"137",5,180,2,7,6,5,8,1,8,8,8,1,5,7,1,NA,2,4,2,4,3,3,2,2,2,3,3,3,3,3,3,3,2,2,3,2
"138",5,120,0,6,1,5,4,1,5,8,6,8,7,6,1,NA,2,3,2,3,4,4,3,4,3,2,3,2,3,2,3,2,1,3,4,2
"139",4,90,6,10,4,7,9,1,4,9,8,9,3,1,1,NA,1,5,1,1,1,5,2,1,2,2,1,3,1,2,1,5,1,3,2,2
"140",5,30,4,5,4,4,4,1,7,8,7,3,5,7,1,NA,3,4,3,4,3,3,3,2,2,2,3,3,4,3,3,4,2,2,2,2
"141",5,180,0,0,0,5,5,1,6,6,6,1,6,7,1,NA,3,5,1,4,4,5,3,4,1,1,2,4,3,1,6,2,2,3,3,1
"142",3,NA,7,8,6,7,8,1,9,10,10,0,7,7,1,NA,3,6,1,6,2,5,1,1,1,2,1,3,1,4,1,5,1,1,3,3
"143",5,360,2,8,5,3,5,1,5,7,6,3,7,7,1,NA,2,4,2,4,4,4,2,3,4,2,2,4,4,2,5,4,1,1,4,2
"144",3,NA,5,8,4,4,4,2,5,7,7,0,7,7,1,NA,2,3,5,2,3,2,2,5,4,2,3,3,2,2,2,2,2,2,2,3
"145",5,240,4,3,5,5,3,1,8,10,8,0,7,7,1,NA,1,5,1,5,1,3,1,2,1,2,1,3,1,4,2,2,1,1,3,2
